threshold,accuracy,precision,recall,f1,business_value
0.7,0.847,0.5694444444444444,0.6485557083906465,0.6064308681672026,130370.0
0.6,0.822625,0.5081967213114754,0.7462173314993122,0.6046252438005015,169600.0
0.5,0.79,0.4570015220700152,0.8259972489683631,0.5884370406663401,200630.0
0.8,0.858,0.6424731182795699,0.4931224209078404,0.5579766536964981,65710.0
0.4,0.74775,0.40932475884244374,0.875515818431912,0.5578439964943033,218130.0
0.3,0.690625,0.36280569739317386,0.9284731774415406,0.5217391304347826,235890.0
